record_id,redcap_repeat_instrument,redcap_repeat_instance,gel_prop_data_url,gel_prop_expt_date,gel_prop_mhc_alpha,gel_prop_spec_number,gel_prop_region
0DC6E,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-07-24,0.193614389186248,50999.4,14
0DC6E,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-07-24,0.293299838802466,51007.5,
0DC6E,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-08-19,2.92805480288466e-10,50999.4,14
0DC6E,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-08-19,0.655402932538684,51007.5,
2256F,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-07-24,0.00539710931800017,84337.1,14
2256F,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-07-24,0.272813464426913,84331.3,
2256F,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-08-19,9.57296986179372e-10,84337.1,14
2256F,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-08-19,0.690579272654937,84331.3,
2508D,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-07-24,2.43058099878553e-14,53216.8,14
2508D,gel_proportion,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-732,2025-07-24,0.595143307097623,53221.6,
